"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","Followup_Judge_Accuracy_Comment","Followup_Judge_Clarity_Comment","Followup_Judge_Completeness_Comment","Followup_Judge_Conciseness_Comment","Followup_Judge_Objectivity_Comment","Followup_Judge_Relevance_Comment","Initial_Judge_Accuracy_Comment","Initial_Judge_Clarity_Comment","Initial_Judge_Completeness_Comment","Initial_Judge_Conciseness_Comment","Initial_Judge_Objectivity_Comment","Initial_Judge_Relevance_Comment","description","enable_ranking","framework","initialization_error","judge_followup_error","judge_model","keywords","model_name","num_articles","processing_error","prompting_method","summary_word_count","temperature","top_p","BLEU","Followup_Judge_Accuracy","Followup_Judge_Clarity","Followup_Judge_Completeness","Followup_Judge_Conciseness","Followup_Judge_Objectivity","Followup_Judge_Overall_Score","Followup_Judge_Relevance","Initial_Judge_Accuracy","Initial_Judge_Clarity","Initial_Judge_Completeness","Initial_Judge_Conciseness","Initial_Judge_Objectivity","Initial_Judge_Overall_Score","Initial_Judge_Relevance","ROUGE-1","ROUGE-2","ROUGE-L","average_similarity_all_articles","average_similarity_top_10_articles","cost_followup_judge_evaluation","cost_judge_evaluation","cost_summary_generation"
"2025-04-02 07:11:27","23.9s","8c65a19edd8f4734a0de242e8cb4186c","Topic_10_Run_12","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the articles, providing a comprehensive overview of the research.","The summary is clear, well-structured, and easy to follow, presenting complex scientific concepts in a digestible manner.","The summary includes most major findings from the abstracts, but could benefit from further elaboration on the specific methodologies used in the studies.","While concise, some additional details could be trimmed to enhance brevity and focus on the main points of each study.","The summary maintains objectivity and presents information factually, without bias or subjective interpretation.","All included information is highly relevant to the main topics of epigenetic regulation in cardiovascular diseases and systemic sclerosis.","The summary accurately captures the key findings and implications of the articles.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details could be further elaborated.","While concise, a few more details could be trimmed to enhance brevity.","The summary maintains objectivity and presents information factually.","All included information is highly relevant to the main topics.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","False","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Tree of Thought","300","0.5","1.0","0.5024176760591677","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.5042194092827004","0.24524312896405917","0.29324894514767935","0.8377360919407209","0.8377360919407209","0.0012005000000000002","0.001131","0.0013225"
"2025-04-02 07:11:04","23.3s","621647e4613043da9719e62a22d0ab4e","Topic_10_Run_11","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings of the articles, including dysregulated myeloid component in SSc, epigenetic alterations in SMCs related to HTN, and insights from single-cell transcriptomics in cardiovascular diseases.","The summary is clear and well-structured, presenting complex scientific information in an understandable manner.","Most major findings are included, but more details on specific methodologies and results could enhance the completeness of the summary.","The summary effectively conveys essential details without unnecessary verbosity, maintaining a concise format.","The summary remains objective, providing factual information without personal bias or interpretation.","All information included in the summary is relevant to the main topics of epigenetic regulation in SSc, HTN, and cardiovascular diseases.","The summary accurately captures the key findings of the articles.","The summary is clear, well-structured, and easy to understand.","Most major findings are included, but some details could be more comprehensive.","The summary is concise and avoids unnecessary verbosity while retaining essential details.","The summary is objective and presents information factually without personal opinions or interpretations.","All included information is pertinent to the main topic without introducing unrelated content.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","True","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Tree of Thought","300","0.5","1.0","0.3837176876346476","10","9","8","9","10","56","10","10","9","8","9","10","56","10","0.4509169363538295","0.17513513513513512","0.18985976267529664","0.8377360919407209","0.8377360919407209","0.0011975","0.0011155000000000002","0.0012699999999999999"
"2025-04-02 07:10:42","21.3s","5430933c54ec4c1f99b7572fb9fc5b55","Topic_10_Run_10","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the articles, including the role of epigenetic alterations in regulating blood pressure, arterial remodeling, and disease susceptibility.","The summary is well-structured and easy to follow, presenting complex concepts in a clear manner. Some simplification of technical terms could further improve clarity.","Most major findings are included, such as the identification of causal variants, the impact of JMJD3 on SMC function, and the importance of environmentally induced epigenetic alterations. However, more details on specific methodologies could enhance comprehensiveness.","The summary effectively conveys essential details but could benefit from further trimming of non-essential information to enhance conciseness.","The summary maintains objectivity by presenting factual information without personal bias, supporting the scientific findings and implications.","All included information directly relates to the main topics of epigenetics, cardiovascular diseases, and systemic sclerosis, providing valuable insights for personalized management and treatment strategies.","The summary accurately captures the key findings and implications of the articles.","The summary is well-structured and easy to follow, though some complex concepts could be simplified.","Most major findings are included, but some details on methodologies could enhance comprehensiveness.","The summary effectively conveys essential details but could benefit from further trimming of non-essential information.","The summary maintains objectivity by presenting factual information without personal bias.","All included information directly relates to the main topics of epigenetics, cardiovascular diseases, and systemic sclerosis.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","False","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Chain of Thought","300","0.5","1.0","0.4926201640173013","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.5078369905956113","0.24083769633507857","0.2821316614420063","0.8377360919407209","0.8377360919407209","0.0012965","0.001171","0.001356"
"2025-04-02 07:10:16","26.0s","aa45c8ac0d0a47c19cd38f9299476443","Topic_10_Run_9","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","","","","","","","The summary accurately captures the key findings of the articles.","The summary is clear, well-structured, and easy to understand.","Most major findings are included, but some details could be further elaborated.","The summary is concise, but a few areas could be more succinct.","The summary maintains objectivity and presents information factually.","All included information is highly relevant to the main topics.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","True","single_agent","","Failed to parse follow-up evaluation. Ensure the Judge agent outputs valid JSON.","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Chain of Thought","300","0.5","1.0","0.44388817220174986","","","","","","","","10","9","9","8","10","56","10","0.48370136698212407","0.20653319283456267","0.20399579390115666","0.8377360919407209","0.8377360919407209","0.001657","0.0011185000000000001","0.0013155"
"2025-04-02 07:09:55","21.8s","eb23b28d8fe5488e9602fe887820ab0e","Topic_10_Run_8","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the original abstracts.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details on methodologies could enhance completeness.","While concise, a few more details could be trimmed to enhance conciseness.","The summary maintains objectivity by presenting factual information without personal bias.","All included information is highly relevant to the main topics of epigenetics and cardiovascular diseases.","The summary accurately captures the key findings and implications of the original abstracts.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details on methodologies could enhance completeness.","While concise, a few more details could be trimmed to enhance conciseness.","The summary maintains objectivity by presenting factual information without personal bias.","All included information is highly relevant to the main topics of epigenetics and cardiovascular diseases.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","False","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Tree of Thought","300","0.2","1.0","0.46628426290000335","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.512448132780083","0.2203742203742204","0.2717842323651452","0.8377360919407209","0.8377360919407209","0.0011510000000000001","0.0011585","0.0013555"
"2025-04-02 07:09:30","24.6s","d651d61c24b544139d71fc41369aba90","Topic_10_Run_7","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the articles, maintaining a high level of accuracy.","The summary is clear, well-structured, and easy to follow, ensuring the information is presented in a coherent manner.","Most major findings are included, but some details could be further elaborated to provide a more comprehensive overview.","While the summary is concise, a few more details could be trimmed for brevity without compromising the overall understanding of the research.","The summary maintains objectivity by presenting factual information without personal bias, ensuring a neutral perspective on the research findings.","All included information is highly relevant to the main topics of epigenetics, hypertension, and cardiovascular diseases, maintaining a strong focus on the key themes.","The summary accurately captures the key findings and implications of the articles.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details could be further elaborated.","The summary is concise, but a few more details could be trimmed for brevity.","The summary maintains objectivity by presenting factual information without personal bias.","All included information is highly relevant to the main topics.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","True","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Tree of Thought","300","0.2","1.0","0.39061973454014615","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.4083885209713024","0.16371681415929207","0.18763796909492275","0.8377360919407209","0.8377360919407209","0.0011795","0.0011020000000000001","0.0012175"
"2025-04-02 07:09:09","20.8s","b6b6af06540948feac161a7211691d2e","Topic_10_Run_6","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the original abstracts.","The summary is well-structured and easy to follow, presenting complex concepts clearly.","The summary includes most major findings, but could benefit from additional details on methodologies for enhanced comprehensiveness.","While concise, a few additional details could be omitted to further streamline the summary.","The summary maintains objectivity by presenting factual information without personal bias.","All included information is directly related to the main topics of epigenetics and cardiovascular diseases.","The summary accurately captures the key findings and implications of the original abstracts.","The summary is well-structured and easy to follow, presenting complex concepts clearly.","Most major findings are included, but some details on methodologies could enhance comprehensiveness.","While concise, a few additional details could be omitted to further streamline the summary.","The summary maintains objectivity by presenting factual information without personal bias.","All included information is directly related to the main topics of epigenetics and cardiovascular diseases.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","False","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Chain of Thought","300","0.2","1.0","0.514047373256772","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.5127659574468085","0.24093816631130066","0.29148936170212764","0.8377360919407209","0.8377360919407209","0.0011365","0.0011359999999999999","0.0012825"
"2025-04-02 07:08:47","22.2s","389d0947a3e94d67943773ace54a6c77","Topic_10_Run_5","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the original abstracts.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details on methodologies could enhance completeness.","While concise, a few more details could be trimmed to enhance conciseness.","The summary maintains objectivity by presenting factual information without personal opinions.","All included information is highly relevant to the main topics of epigenetics and cardiovascular diseases.","The summary accurately captures the key findings and implications of the original abstracts.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details on methodologies could enhance completeness.","While concise, a few more details could be trimmed to enhance conciseness.","The summary maintains objectivity by presenting factual information without personal opinions.","All included information is highly relevant to the main topics of epigenetics and cardiovascular diseases.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","True","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Chain of Thought","300","0.2","1.0","0.5504044821552754","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.4152249134948097","0.20115606936416186","0.2606689734717416","0.8377360919407209","0.8377537729303801","0.0010755","0.001083","0.0011415000000000002"
"2025-04-02 07:08:24","23.4s","0a747975d0c34b53963a1aab4d1946d4","Topic_10_Run_4","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the articles, including details from the abstracts.","The summary is clear, well-structured, and easy to follow, presenting complex scientific concepts in a digestible manner.","Most major findings are included, and the summary provides a comprehensive overview of the research topics. Some additional details could enhance understanding.","While concise, a few more details could be trimmed to enhance brevity without losing critical information.","The summary maintains objectivity and presents information factually, without bias or subjective interpretation.","All included information is highly relevant to the main topics of epigenetics, cardiovascular diseases, and personalized medicine.","The summary accurately captures the key findings and implications of the articles.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details could be further elaborated.","While concise, a few more details could be trimmed to enhance brevity.","The summary maintains objectivity and presents information factually.","All included information is highly relevant to the main topics.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","False","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Tree of Thought","300","0.0","1.0","0.45927376919887253","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.516923076923077","0.21582733812949642","0.2605128205128205","0.8377360919407209","0.8377360919407209","0.0012000000000000001","0.001141","0.0013525"
"2025-04-02 07:07:57","26.2s","fda8f997d021454b87f3e1d04f52de58","Topic_10_Run_3","LOCAL","src/scirad/models/agent_single.py","alkhalifas","FINISHED","The summary accurately captures the key findings and implications of the articles.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details could be further elaborated.","The summary is concise overall, but a few areas could be more succinct.","The summary maintains objectivity and presents information factually.","All included information is highly relevant to the main topics.","The summary accurately captures the key findings and implications of the articles.","The summary is clear, well-structured, and easy to follow.","Most major findings are included, but some details could be further elaborated.","The summary is concise overall, but a few areas could be more succinct.","The summary maintains objectivity and presents information factually.","All included information is highly relevant to the main topics.","Exploration of epigenetic mechanisms regulating gene-expression changes linked to disease.","True","single_agent","","","gpt-3.5-turbo","epigenetics, gene-expression, disease","gpt-3.5-turbo","4","","Tree of Thought","300","0.0","1.0","0.415996345538705","10","9","9","8","10","56","10","10","9","9","8","10","56","10","0.4398699891657638","0.16720955483170466","0.19068255687973995","0.8377360919407209","0.8377360919407209","0.0011015","0.001115","0.0012775"
